dateTime,open,high,low,close,volume
2019-04-26 00:00:00,0.00263000,0.01052000,0.00263000,0.00545000,2251813333.70000000
2019-04-27 00:00:00,0.00543000,0.00586000,0.00516000,0.00521000,440339020.00000000
2019-04-28 00:00:00,0.00521000,0.00527000,0.00434000,0.00442000,457183971.50000000
2019-04-29 00:00:00,0.00442000,0.00456000,0.00343000,0.00347000,520557584.60000000
2019-04-30 00:00:00,0.00346000,0.00516000,0.00346000,0.00442000,1165706893.80000000
2019-05-01 00:00:00,0.00442000,0.00464000,0.00402000,0.00432000,650430750.00000000
2019-05-02 00:00:00,0.00432000,0.00468000,0.00410000,0.00419000,270118878.80000000
2019-05-03 00:00:00,0.00419000,0.00440000,0.00394000,0.00423000,279265819.70000000
2019-05-04 00:00:00,0.00423000,0.00425000,0.00381000,0.00397000,151436176.60000000
2019-05-05 00:00:00,0.00396000,0.00406000,0.00359000,0.00372000,161357630.80000000
2019-05-06 00:00:00,0.00371000,0.00392000,0.00350000,0.00373000,270695596.40000000
2019-05-07 00:00:00,0.00374000,0.00385000,0.00333000,0.00336000,172934704.90000000
2019-05-08 00:00:00,0.00335000,0.00348000,0.00328000,0.00333000,154227974.60000000
2019-05-09 00:00:00,0.00336000,0.00341000,0.00303000,0.00314000,211829251.90000000
2019-05-10 00:00:00,0.00313000,0.00388000,0.00312000,0.00378000,408703745.60000000
2019-05-11 00:00:00,0.00379000,0.00505000,0.00371000,0.00460000,688249967.80000000
2019-05-12 00:00:00,0.00462000,0.00572000,0.00444000,0.00530000,1166562752.90000000
2019-05-13 00:00:00,0.00529000,0.00920000,0.00516000,0.00868000,2877309846.10000000
2019-05-14 00:00:00,0.00864000,0.01120000,0.00718000,0.00780000,3861464345.10000000
2019-05-15 00:00:00,0.00777000,0.01000000,0.00705000,0.00956000,1803273014.20000000
2019-05-16 00:00:00,0.00957000,0.01205000,0.00826000,0.01087000,2158935027.20000000
2019-05-17 00:00:00,0.01086000,0.01507000,0.00921000,0.01455000,4397262355.60000000
2019-05-18 00:00:00,0.01456000,0.01489000,0.01205000,0.01235000,1670915897.80000000
2019-05-19 00:00:00,0.01235000,0.02069000,0.01226000,0.02018000,2909833092.60000000
2019-05-20 00:00:00,0.02016000,0.03500000,0.01833000,0.02950000,4959586016.00000000
2019-05-21 00:00:00,0.02937000,0.04500000,0.02438000,0.02953000,7216196145.90000000
2019-05-22 00:00:00,0.02950000,0.03170000,0.02050000,0.02209000,4411472529.90000000
2019-05-23 00:00:00,0.02215000,0.03401000,0.02143000,0.02739000,5742350972.30000000
2019-05-24 00:00:00,0.02736000,0.02870000,0.02265000,0.02529000,2439816666.40000000
2019-05-25 00:00:00,0.02527000,0.02835000,0.02302000,0.02475000,2092787378.60000000
2019-05-26 00:00:00,0.02482000,0.02725000,0.02305000,0.02419000,1308601539.20000000
2019-05-27 00:00:00,0.02417000,0.02478000,0.02076000,0.02235000,1191302944.80000000
2019-05-28 00:00:00,0.02232000,0.02540000,0.02102000,0.02380000,1527919636.60000000
2019-05-29 00:00:00,0.02379000,0.02487000,0.02207000,0.02212000,860955448.60000000
2019-05-30 00:00:00,0.02213000,0.02330000,0.01824000,0.01972000,1037590833.50000000
2019-05-31 00:00:00,0.01972000,0.02299000,0.01939000,0.02216000,1075501624.00000000
2019-06-01 00:00:00,0.02216000,0.02289000,0.02067000,0.02104000,963080818.80000000
2019-06-02 00:00:00,0.02107000,0.02221000,0.01961000,0.02012000,514773376.30000000
2019-06-03 00:00:00,0.02012000,0.02099000,0.01873000,0.01911000,515148781.00000000
2019-06-04 00:00:00,0.01911000,0.02198000,0.01780000,0.02139000,1436021143.10000000
2019-06-05 00:00:00,0.02140000,0.02361000,0.01954000,0.02285000,1684301208.50000000
2019-06-06 00:00:00,0.02290000,0.02514000,0.02150000,0.02361000,1610958057.60000000
2019-06-07 00:00:00,0.02361000,0.02488000,0.02231000,0.02426000,581785344.20000000
2019-06-08 00:00:00,0.02429000,0.02662000,0.02330000,0.02583000,892055754.00000000
2019-06-09 00:00:00,0.02583000,0.02760000,0.02431000,0.02537000,1037582796.80000000
2019-06-10 00:00:00,0.02537000,0.02735000,0.02388000,0.02698000,861155174.40000000
2019-06-11 00:00:00,0.02701000,0.02706000,0.02332000,0.02390000,652982968.70000000
2019-06-12 00:00:00,0.02390000,0.02525000,0.02281000,0.02305000,680341982.30000000
2019-06-13 00:00:00,0.02304000,0.02475000,0.02221000,0.02310000,1130423131.50000000
2019-06-14 00:00:00,0.02314000,0.02330000,0.01900000,0.02055000,658163305.30000000
2019-06-15 00:00:00,0.02053000,0.02295000,0.02053000,0.02179000,659353874.40000000
2019-06-16 00:00:00,0.02179000,0.02280000,0.02063000,0.02240000,648967789.40000000
2019-06-17 00:00:00,0.02239000,0.02385000,0.02122000,0.02175000,567072821.40000000
2019-06-18 00:00:00,0.02175000,0.02289000,0.02122000,0.02247000,650343325.30000000
2019-06-19 00:00:00,0.02249000,0.02440000,0.02233000,0.02309000,1270664876.60000000
2019-06-20 00:00:00,0.02307000,0.02376000,0.02178000,0.02241000,684710485.30000000
2019-06-21 00:00:00,0.02242000,0.02343000,0.02061000,0.02100000,1001459457.60000000
2019-06-22 00:00:00,0.02103000,0.02276000,0.02050000,0.02194000,1239942559.00000000
2019-06-23 00:00:00,0.02193000,0.02238000,0.02078000,0.02104000,942419639.90000000
2019-06-24 00:00:00,0.02104000,0.02169000,0.02000000,0.02072000,290258602.60000000
2019-06-25 00:00:00,0.02072000,0.02072000,0.01903000,0.01920000,364473706.30000000
2019-06-26 00:00:00,0.01920000,0.01950000,0.01639000,0.01795000,826569793.30000000
2019-06-27 00:00:00,0.01788000,0.02168000,0.01723000,0.01942000,952899255.40000000
2019-06-28 00:00:00,0.01948000,0.02116000,0.01905000,0.01920000,490034713.70000000
