dateTime,open,high,low,close,volume
2020-08-21 00:00:00,0.53970000,0.53970000,0.40100000,0.43140000,2884153.28000000
2020-08-22 00:00:00,0.43170000,0.49870000,0.41200000,0.47120000,4198278.44000000
2020-08-23 00:00:00,0.46900000,0.49400000,0.45230000,0.48210000,10755011.03000000
2020-08-24 00:00:00,0.48210000,0.53340000,0.47920000,0.53150000,2243774.75000000
2020-08-25 00:00:00,0.53230000,0.53240000,0.44780000,0.46190000,2608675.14000000
2020-08-26 00:00:00,0.46190000,0.49830000,0.46030000,0.49800000,1831323.23000000
2020-08-27 00:00:00,0.49830000,0.51820000,0.47010000,0.50460000,3018123.53000000
2020-08-28 00:00:00,0.50330000,0.57000000,0.50170000,0.56620000,3694034.11000000
2020-08-29 00:00:00,0.56620000,0.56910000,0.51650000,0.53800000,2172028.16000000
2020-08-30 00:00:00,0.53800000,0.56300000,0.52220000,0.53260000,2697793.49000000
2020-08-31 00:00:00,0.53330000,0.53500000,0.50780000,0.50970000,2704706.10000000
2020-09-01 00:00:00,0.51050000,0.51060000,0.47450000,0.48080000,3953475.68000000
2020-09-02 00:00:00,0.48060000,0.48140000,0.41850000,0.44280000,3695631.01000000
2020-09-03 00:00:00,0.44280000,0.45000000,0.37000000,0.37780000,4072613.69000000
2020-09-04 00:00:00,0.37480000,0.38130000,0.35980000,0.36850000,3338968.01000000
2020-09-05 00:00:00,0.36890000,0.37770000,0.31830000,0.32640000,2996620.05000000
2020-09-06 00:00:00,0.32610000,0.33630000,0.31040000,0.33250000,3122558.17000000
2020-09-07 00:00:00,0.33250000,0.33780000,0.30710000,0.32570000,2699267.69000000
2020-09-08 00:00:00,0.32580000,0.32870000,0.30780000,0.31650000,2027110.78000000
2020-09-09 00:00:00,0.31620000,0.32910000,0.30840000,0.31670000,1831995.91000000
2020-09-10 00:00:00,0.31670000,0.38680000,0.31630000,0.34980000,4329407.69000000
2020-09-11 00:00:00,0.34970000,0.35700000,0.31410000,0.33840000,4030025.95000000
2020-09-12 00:00:00,0.33830000,0.33910000,0.31800000,0.32940000,5214097.92000000
2020-09-13 00:00:00,0.32910000,0.34830000,0.30010000,0.30880000,3657468.60000000
