Date,Open,High,Low,Close,Volume
2006-01-18,20.0,32.0,19.0,19.0,17600
2006-01-19,20.0,20.0,14.52,16.0,390100
2006-01-20,16.5,16.5,15.24,15.5,118800
2006-01-23,16.0,16.0,14.8,15.15,16600
2006-01-24,15.79,15.79,14.73,15.5,42700
2006-01-25,15.4,16.28,14.99,14.99,110600
2006-01-26,15.0,15.8,14.84,15.14,173100
2006-01-27,15.1,15.8,15.05,15.5,328500
2006-01-30,15.89,17.5,15.5,17.18,371200
2006-01-31,17.33,17.35,15.76,16.67,87700
2006-02-01,16.2,16.81,16.0,16.5,25400
2006-02-02,16.6,16.6,16.01,16.5,14300
2006-02-03,15.72,16.49,15.52,16.49,15400
2006-02-06,16.5,17.29,16.14,17.29,64700
2006-02-07,17.4,30.85,16.81,25.11,1584000
2006-02-08,24.0,29.79,19.62,20.37,1346600
2006-02-09,20.55,23.67,20.51,20.51,398400
2006-02-10,21.8,21.8,19.33,20.0,315900
2006-02-13,20.51,20.98,17.95,18.0,970400
2006-02-14,17.91,18.28,17.35,17.65,505100
2006-02-15,17.76,19.15,17.18,18.34,967800
2006-02-16,18.3,18.95,18.3,18.35,323300
2006-02-17,18.2,19.89,18.12,19.0,577500
2006-02-20,19.4,19.7,18.81,19.0,379600
2006-02-21,19.0,19.49,18.07,18.79,505100
2006-02-22,18.7,20.29,18.62,20.0,2351500
2006-02-26,20.47,21.2,19.81,20.96,1611700
2006-02-27,20.96,21.3,20.28,20.3,2209600
2006-02-28,20.4,20.9,19.5,19.98,1065100
2006-03-01,20.15,20.4,19.02,19.75,1219800
2006-03-02,19.57,20.45,19.57,20.1,973900
2006-03-03,20.25,20.3,20.0,20.12,607900
2006-03-06,19.66,20.39,19.25,19.9,905200
2006-03-07,19.71,19.95,19.3,19.4,715200
2006-03-09,19.05,19.36,18.4,18.6,319400
2006-03-10,19.09,19.37,18.71,19.18,110400
2006-03-13,19.35,19.49,18.8,19.2,177200
2006-03-14,19.15,19.19,18.5,18.6,136700
2006-03-15,19.0,19.13,18.62,18.98,124000
2006-03-16,18.71,19.0,18.61,18.99,84100
2006-03-17,19.0,19.44,18.88,18.93,239300
2006-03-20,19.19,19.29,18.32,18.55,356100
2006-03-21,18.48,19.18,18.3,19.15,429100
2006-03-22,19.14,19.97,18.83,19.85,523100
2006-03-23,19.92,20.32,19.72,20.0,513700
2006-03-24,20.06,20.45,20.0,20.25,214700
2006-03-27,20.35,20.42,19.95,20.1,133600
2006-03-28,20.12,20.42,19.95,20.02,1448400
2006-03-29,19.98,20.18,19.88,20.0,211400
2006-03-30,20.25,20.83,20.0,20.45,1277100
2006-03-31,20.52,21.3,20.36,21.3,1542600
2006-04-03,21.2,21.79,21.2,21.35,587500
2006-04-04,21.22,21.6,20.82,21.0,403800
2006-04-05,21.01,21.5,21.0,21.42,309400
2006-04-06,21.49,21.5,21.07,21.2,102400
2006-04-07,21.0,21.24,20.85,21.0,132400
2006-04-10,21.0,21.07,20.76,20.97,228400
2006-04-11,20.9,21.04,20.5,20.5,1813200
2006-04-12,20.53,20.6,19.8,20.33,246500
2006-04-13,20.2,20.4,19.9,20.1,221600
2006-04-14,20.1,20.1,19.95,20.0,68800
2006-04-17,20.39,20.5,20.15,20.49,518300
2006-04-18,20.56,20.6,20.3,20.6,187200
2006-04-19,20.6,20.8,20.2,20.6,470100
2006-04-20,20.05,20.69,20.05,20.349,615000
2006-04-21,20.1,20.688,20.1,20.26,397900
2006-04-24,20.39,20.39,20.011,20.359,244900
2006-04-25,20.35,20.35,20.2,20.27,66600
2006-04-26,20.273,20.5,20.031,20.5,473700
2006-04-27,20.3,20.502,19.5,20.0,1120100
2006-04-28,20.089,20.42,20.06,20.4,1025100
2006-05-02,20.49,20.49,20.06,20.15,27400
2006-05-03,20.25,20.99,20.101,20.215,459100
2006-05-04,20.2,20.5,20.2,20.45,211800
2006-05-05,20.3,20.45,20.1,20.25,133700
2006-05-06,20.402,20.777,20.199,20.695,242900
2006-05-10,20.701,20.8,20.153,20.2,356800
2006-05-11,20.598,20.598,20.101,20.499,168600
2006-05-12,20.195,21.2,20.195,20.9,452700
2006-05-15,20.99,21.15,20.25,20.5,161000
2006-05-16,20.6,20.6,20.101,20.4,292500
2006-05-17,20.22,20.6,20.15,20.251,270000
2006-05-18,19.95,20.501,19.651,20.5,271000
2006-05-19,20.51,20.897,20.22,20.22,340000
2006-05-22,20.2,20.48,18.26,18.51,682000
2006-05-23,19.2,20.3,18.0,20.01,288400
2006-05-24,20.5,20.96,19.5,20.0,263400
2006-05-25,19.002,20.0,19.001,20.0,231000
2006-05-26,20.6,21.1,20.44,20.64,457700
2006-05-29,21.2,21.2,20.5,20.51,127800
2006-05-30,20.7,20.99,20.5,20.5,144200
2006-05-31,20.2,20.55,20.01,20.103,115100
2006-06-01,20.07,20.342,20.06,20.1,149800
2006-06-02,20.57,20.579,20.01,20.05,229500
2006-06-05,20.055,20.2,19.9,20.0,245500
2006-06-06,20.0,20.13,19.7,19.999,82000
2006-06-07,20.0,20.0,19.0,19.42,89000
2006-06-08,19.5,20.05,19.11,20.05,102600
2006-06-09,19.55,20.47,19.5,20.05,244500
2006-06-13,20.0,20.0,19.015,19.749,27400
2006-06-14,19.948,20.299,19.0,19.75,91700
2006-06-15,19.5,19.8,19.06,19.8,295000
2006-06-16,19.5,19.79,19.1,19.79,55100
2006-06-19,19.7,19.8,19.3,19.8,95700
2006-06-20,19.305,20.0,19.2,20.0,148100
2006-06-21,20.0,20.0,19.711,19.9,186100
2006-06-22,19.999,19.999,19.7,19.9,194000
2006-06-23,20.0,20.0,19.5,19.8,113800
2006-06-26,19.25,20.0,19.211,20.0,32200
2006-06-27,20.1,20.1,19.25,19.95,399400
2006-06-28,19.898,19.95,19.55,19.885,10100
2006-06-29,19.999,20.02,19.69,19.87,99400
2006-06-30,19.303,19.933,19.301,19.933,70300
2006-07-03,19.71,19.789,19.351,19.695,731200
2006-07-04,19.5,20.0,19.125,19.7,2864700
2006-07-05,19.502,19.94,19.12,19.122,961900
2006-07-06,19.1,19.9,19.1,19.551,555500
2006-07-07,19.37,19.7,19.37,19.5,21900
2006-07-10,19.36,19.79,19.36,19.79,32700
2006-07-11,19.525,19.67,19.525,19.62,64000
2006-07-12,19.75,19.75,19.35,19.5,307200
2006-07-13,19.5,19.5,19.18,19.49,138700
2006-07-14,19.201,19.549,19.201,19.221,42300
2006-07-17,19.498,19.498,19.18,19.18,14400
2006-07-18,19.051,19.25,18.8,19.193,28700
2006-07-19,19.249,19.249,18.9,19.0,224600
2006-07-20,19.02,19.214,18.7,18.99,276000
2006-07-21,18.8,19.097,18.526,19.0,6300
2006-07-24,18.99,19.0,18.631,18.631,52300
2006-07-25,18.701,19.0,18.6,18.6,149000
2006-07-26,18.698,18.698,18.649,18.689,4700
2006-07-27,18.9,19.02,18.7,18.8,290400
2006-07-28,18.98,19.0,18.65,18.7,111100
2006-07-31,19.1,19.1,18.711,18.83,245200
2006-08-01,19.099,19.099,18.85,18.908,60900
2006-08-02,19.0,19.15,19.0,19.0,376000
2006-08-03,19.0,19.0,18.85,19.0,109500
2006-08-04,18.82,19.3,18.82,19.05,32600
2006-08-07,18.751,19.09,18.751,19.0,9400
2006-08-08,19.0,19.1,18.9,19.0,29400
2006-08-09,19.1,19.1,18.85,19.03,70700
2006-08-10,19.08,19.08,18.95,19.0,12300
2006-08-11,18.95,19.19,18.95,19.0,51100
2006-08-14,19.1,19.15,18.8,19.0,13700
2006-08-15,19.0,19.0,18.9,18.9,6100
2006-08-16,19.0,19.0,18.83,18.83,53100
2006-08-17,18.8,19.1,18.8,19.0,15000
2006-08-18,18.9,18.93,18.83,18.83,9200
2006-08-21,18.7,19.0,18.31,18.9,11500
2006-08-22,18.9,19.0,18.9,19.0,3900
2006-08-23,18.917,19.0,18.8,18.87,67100
2006-08-24,18.87,19.0,18.75,18.8,37100
2006-08-25,18.998,18.998,18.77,18.85,60800
2006-08-28,18.8,18.97,18.601,18.91,14500
2006-08-29,18.8,18.999,18.8,18.94,97900
2006-08-30,18.89,18.9,18.653,18.653,25100
