dateTime,open,high,low,close,volume
2021-03-10 00:00:00,32.86960000,33.50000000,30.31860000,30.88770000,3832878.65000000
2021-03-11 00:00:00,30.87870000,31.82380000,29.50000000,30.99440000,3153485.80000000
2021-03-12 00:00:00,31.00930000,31.97190000,29.15480000,30.91980000,2817271.54000000
2021-03-13 00:00:00,30.91170000,33.35850000,30.18500000,32.44390000,3410666.16000000
2021-03-14 00:00:00,32.47260000,33.89650000,30.62610000,30.65090000,2620736.83000000
2021-03-15 00:00:00,30.64940000,31.53400000,29.53400000,29.79830000,2781982.06000000
2021-03-16 00:00:00,29.80580000,30.05010000,27.97810000,30.02470000,2469876.37000000
2021-03-17 00:00:00,30.02470000,31.68000000,29.41910000,31.28780000,3533112.09000000
2021-03-18 00:00:00,31.32610000,31.60000000,29.71360000,29.97850000,1718067.32000000
2021-03-19 00:00:00,29.97520000,34.20000000,29.44970000,33.26200000,3484967.80000000
2021-03-20 00:00:00,33.25660000,35.20050000,31.85000000,32.03990000,4039700.95000000
2021-03-21 00:00:00,32.04000000,33.30000000,31.50000000,32.93950000,1811349.12000000
2021-03-22 00:00:00,32.93990000,35.85310000,31.74950000,32.79580000,5358849.03000000
2021-03-23 00:00:00,32.82800000,36.80000000,30.08880000,30.98780000,8403123.71000000
2021-03-24 00:00:00,31.01700000,31.88130000,25.52470000,27.22430000,6871661.81000000
2021-03-25 00:00:00,27.22130000,28.07000000,25.56590000,26.50000000,4913672.84000000
2021-03-26 00:00:00,26.50050000,29.00000000,26.44980000,28.88000000,3200954.64000000
2021-03-27 00:00:00,28.88000000,29.47060000,27.79510000,28.18970000,2404025.64000000
2021-03-28 00:00:00,28.18930000,28.88700000,27.35580000,27.86850000,2025362.24000000
2021-03-29 00:00:00,27.87140000,29.50000000,27.50130000,29.01550000,2808473.57000000
2021-03-30 00:00:00,29.01860000,29.26930000,28.28000000,28.55000000,2562782.30000000
2021-03-31 00:00:00,28.54870000,29.02510000,26.66600000,28.03160000,2709216.20000000
2021-04-01 00:00:00,28.07760000,30.30550000,28.07760000,28.66380000,3244347.12000000
2021-04-02 00:00:00,28.66380000,30.28030000,28.42520000,30.20840000,2251495.66000000
2021-04-03 00:00:00,30.19400000,32.50000000,29.32930000,29.38740000,4271331.76000000
2021-04-04 00:00:00,29.38590000,31.50000000,28.91830000,30.91310000,1729762.79000000
2021-04-05 00:00:00,30.91340000,31.23060000,29.67120000,30.82920000,1978116.57000000
2021-04-06 00:00:00,30.82920000,32.45080000,30.01740000,31.23300000,2543943.79000000
2021-04-07 00:00:00,31.25120000,31.40000000,27.79070000,28.57220000,2796671.57000000
2021-04-08 00:00:00,28.56460000,30.33160000,28.33120000,30.20330000,1693340.00000000
2021-04-09 00:00:00,30.19110000,30.67130000,29.25000000,29.51990000,1472609.57000000
2021-04-10 00:00:00,29.51990000,30.98390000,29.16870000,29.76490000,1863776.25000000
2021-04-11 00:00:00,29.77430000,30.66590000,29.19360000,29.90630000,2335194.54000000
2021-04-12 00:00:00,29.91310000,38.16390000,29.54580000,36.68440000,10504630.76000000
2021-04-13 00:00:00,36.66900000,37.20000000,33.75000000,35.42930000,5456454.88000000
2021-04-14 00:00:00,35.43360000,36.93000000,33.22200000,36.06260000,4599133.42000000
2021-04-15 00:00:00,36.06310000,39.60000000,35.58130000,37.74470000,5458455.78000000
2021-04-16 00:00:00,37.72850000,38.19770000,33.98300000,36.13590000,4000210.96000000
2021-04-17 00:00:00,36.12840000,37.52670000,34.62220000,34.73430000,2729047.23000000
2021-04-18 00:00:00,34.74120000,35.10000000,26.97870000,31.62250000,6697460.24000000
2021-04-19 00:00:00,31.63640000,32.73000000,29.18100000,31.35720000,3932586.13000000
2021-04-20 00:00:00,31.38540000,32.29850000,28.00000000,31.95470000,3661924.46000000
2021-04-21 00:00:00,31.95740000,36.56440000,30.51300000,33.41460000,6855649.28000000
2021-04-22 00:00:00,33.44250000,38.45790000,32.66000000,33.90990000,11202707.97000000
2021-04-23 00:00:00,33.93220000,34.93070000,29.51870000,32.95020000,9040239.73000000
2021-04-24 00:00:00,32.95180000,32.99980000,29.80600000,30.14730000,3100534.37000000
2021-04-25 00:00:00,30.16800000,34.86340000,30.00000000,34.35200000,4673943.49300000
2021-04-26 00:00:00,34.35800000,38.50000000,34.04400000,38.16500000,5278261.40400000
2021-04-27 00:00:00,38.16500000,40.62900000,37.30000000,39.63000000,5387724.42400000
2021-04-28 00:00:00,39.63000000,42.94900000,37.62400000,42.90100000,7137060.83400000
2021-04-29 00:00:00,42.87600000,44.00000000,39.58100000,41.05000000,4430490.18300000
2021-04-30 00:00:00,41.02800000,41.41600000,39.00000000,40.62400000,4308530.48300000
2021-05-01 00:00:00,40.64600000,41.28800000,39.19000000,40.33900000,3165037.01600000
2021-05-02 00:00:00,40.34600000,43.30300000,39.20000000,42.62000000,4160783.06500000
2021-05-03 00:00:00,42.61900000,45.00000000,41.20000000,42.27700000,4837994.95400000
2021-05-04 00:00:00,42.28200000,44.63100000,39.52000000,43.10800000,7355023.79500000
2021-05-05 00:00:00,43.09100000,44.90000000,41.49700000,42.42300000,6727812.04500000
2021-05-06 00:00:00,42.40900000,42.53700000,39.73200000,40.22200000,4988381.41700000
2021-05-07 00:00:00,40.22400000,41.37700000,38.27000000,39.74000000,4057210.56200000
2021-05-08 00:00:00,39.73300000,41.26000000,38.55000000,40.49800000,2961391.16600000
2021-05-09 00:00:00,40.48000000,40.72200000,38.06400000,39.43000000,2582372.60400000
2021-05-10 00:00:00,39.42200000,41.16800000,33.46000000,36.37200000,4237689.41400000
2021-05-11 00:00:00,36.37800000,38.54400000,35.44800000,38.51500000,2721296.59900000
2021-05-12 00:00:00,38.51900000,44.04400000,35.71400000,36.87000000,8229661.45500000
2021-05-13 00:00:00,37.07900000,40.32800000,33.90500000,37.34500000,5519523.22100000
2021-05-14 00:00:00,37.34100000,40.88800000,37.11200000,40.40000000,2694092.99400000
2021-05-15 00:00:00,40.40600000,42.40000000,36.50500000,36.60700000,3451479.68800000
2021-05-16 00:00:00,36.59300000,39.41800000,34.50000000,36.59800000,2888647.37100000
2021-05-17 00:00:00,36.59700000,36.59700000,31.78100000,33.23200000,3934373.62000000
2021-05-18 00:00:00,33.25100000,36.63000000,32.97400000,35.02800000,3743345.47800000
2021-05-19 00:00:00,35.00900000,35.50000000,16.00000000,23.16900000,13257004.56900000
2021-05-20 00:00:00,23.11800000,28.45700000,20.00000000,26.33300000,7410933.25100000
2021-05-21 00:00:00,26.34700000,27.95100000,18.81900000,21.94500000,7106530.23300000
2021-05-22 00:00:00,21.94300000,22.62400000,18.37200000,20.33800000,5227838.54700000
2021-05-23 00:00:00,20.37100000,21.30800000,13.00000000,16.70900000,11476301.55200000
2021-05-24 00:00:00,16.70900000,25.18000000,16.49300000,24.68400000,11137116.47400000
2021-05-25 00:00:00,24.68000000,26.70000000,21.50500000,25.10600000,10314512.40600000
2021-05-26 00:00:00,25.09700000,29.42800000,24.43600000,29.42000000,6640794.78500000
2021-05-27 00:00:00,29.38200000,30.00000000,26.10600000,28.54900000,6275644.88300000
2021-05-28 00:00:00,28.53800000,29.39800000,24.86100000,25.87500000,7728105.11400000
2021-05-29 00:00:00,25.88600000,27.53100000,21.80900000,23.16900000,5967352.89300000
2021-05-30 00:00:00,23.17100000,26.66800000,21.66000000,25.71600000,5654647.41100000
2021-05-31 00:00:00,25.70000000,28.40000000,23.43300000,28.23900000,7519968.02200000
2021-06-01 00:00:00,28.23900000,28.75400000,25.94200000,27.42600000,5252485.93300000
2021-06-02 00:00:00,27.41300000,28.80300000,26.33500000,27.62600000,3744189.31800000
2021-06-03 00:00:00,27.62600000,29.38200000,26.89700000,28.68700000,3675157.56800000
2021-06-04 00:00:00,28.68000000,28.69600000,25.00500000,26.42200000,4004398.55000000
2021-06-05 00:00:00,26.42300000,27.84000000,25.04000000,25.64100000,2675895.49100000
2021-06-06 00:00:00,25.62800000,26.45000000,25.30300000,25.86100000,1965325.54800000
2021-06-07 00:00:00,25.86300000,27.33500000,23.91000000,24.26900000,3839779.30100000
2021-06-08 00:00:00,24.26300000,24.64400000,20.46500000,23.42400000,4141801.39600000
2021-06-09 00:00:00,23.41200000,25.24100000,22.09700000,25.09600000,4569067.66000000
2021-06-10 00:00:00,25.09400000,25.26000000,23.08500000,23.58200000,2524473.95400000
2021-06-11 00:00:00,23.57700000,23.86800000,21.29900000,21.84800000,2595444.49700000
2021-06-12 00:00:00,21.84800000,22.06300000,20.23900000,21.29600000,2201492.91200000
2021-06-13 00:00:00,21.28100000,24.00000000,20.44900000,23.25500000,2282231.75600000
2021-06-14 00:00:00,23.25500000,24.20700000,22.49400000,24.16000000,2206791.97500000
2021-06-15 00:00:00,24.15900000,24.69000000,23.11600000,23.41700000,1506402.33400000
2021-06-16 00:00:00,23.41600000,23.55000000,21.64200000,21.82800000,1687477.96400000
2021-06-17 00:00:00,21.82800000,22.94100000,21.40300000,22.18400000,1443998.14600000
2021-06-18 00:00:00,22.18200000,22.26900000,19.55000000,20.38800000,2187107.78900000
2021-06-19 00:00:00,20.40000000,20.97800000,19.75400000,19.76000000,1744280.98200000
2021-06-20 00:00:00,19.76300000,21.02500000,18.62200000,20.70400000,2410717.37800000
2021-06-21 00:00:00,20.70500000,20.87300000,15.74000000,15.77400000,4733664.59800000
2021-06-22 00:00:00,15.78700000,17.20000000,13.93000000,16.42100000,6573754.00600000
2021-06-23 00:00:00,16.41100000,18.49300000,15.77200000,17.80200000,3802110.64100000
2021-06-24 00:00:00,17.80400000,18.60100000,16.61100000,18.05100000,2840757.25000000
2021-06-25 00:00:00,18.05200000,18.35400000,15.70400000,15.82200000,3191117.77200000
2021-06-26 00:00:00,15.82100000,16.47200000,15.10400000,16.12200000,2113043.44600000
2021-06-27 00:00:00,16.11900000,17.10100000,15.61700000,17.09700000,1849690.81800000
2021-06-28 00:00:00,17.08200000,18.14800000,16.87000000,17.72700000,2122095.86200000
2021-06-29 00:00:00,17.73400000,19.18900000,17.66000000,18.65200000,2732626.33500000
2021-06-30 00:00:00,18.64000000,19.29900000,17.14900000,19.27800000,2596846.28400000
2021-07-01 00:00:00,19.27900000,19.28800000,17.54400000,17.77900000,2155310.32200000
2021-07-02 00:00:00,17.78100000,18.26200000,16.93900000,18.21300000,1673825.91300000
2021-07-03 00:00:00,18.21600000,19.55900000,17.78900000,19.47400000,1969946.10000000
2021-07-04 00:00:00,19.47400000,21.49800000,18.93100000,20.75700000,3396421.13800000
2021-07-05 00:00:00,20.75100000,20.90600000,19.06800000,20.06300000,3729063.07200000
2021-07-06 00:00:00,20.06200000,23.23500000,20.03000000,22.37600000,5911864.44100000
2021-07-07 00:00:00,22.37300000,23.45600000,21.65000000,22.25300000,3088190.07300000
2021-07-08 00:00:00,22.25400000,22.31100000,19.90800000,20.35300000,3124268.55400000
2021-07-09 00:00:00,20.34200000,21.68600000,19.78000000,20.98600000,2534220.36600000
2021-07-10 00:00:00,20.97800000,21.51500000,19.95000000,20.24400000,1405443.51900000
2021-07-11 00:00:00,20.24500000,20.94700000,19.98000000,20.70000000,1315491.27200000
2021-07-12 00:00:00,20.70000000,21.45000000,19.20500000,19.52800000,1844838.18700000
2021-07-13 00:00:00,19.53100000,19.73800000,18.17200000,18.47000000,2357239.52800000
2021-07-14 00:00:00,18.46100000,18.54200000,16.72100000,17.88500000,4782786.98400000
2021-07-15 00:00:00,17.88900000,18.38900000,16.79700000,17.06800000,3278504.78900000
2021-07-16 00:00:00,17.07000000,17.60000000,15.91800000,16.33700000,2512504.07200000
2021-07-17 00:00:00,16.35300000,16.74400000,15.92800000,16.09800000,2244463.83800000
2021-07-18 00:00:00,16.11200000,17.16800000,16.02400000,16.30500000,2646507.71200000
2021-07-19 00:00:00,16.31100000,16.79100000,15.39800000,15.74200000,3004534.03700000
2021-07-20 00:00:00,15.73500000,15.97000000,14.39400000,14.55400000,3276914.07800000
2021-07-21 00:00:00,14.56900000,16.87600000,14.01300000,16.72700000,3689271.23800000
2021-07-22 00:00:00,16.72700000,17.61700000,16.06600000,17.57900000,2957017.84300000
2021-07-23 00:00:00,17.57200000,18.69200000,16.93300000,18.60300000,2570278.49700000
